0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/css/myStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/laptops/hp/hp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/laptops/dell/dell1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/laptops/apple/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:14 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:56:15 +0530] "GET /JSHOW/imagesinvalid.png HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:57:42 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:57:42 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:57:43 +0530] "GET /JSHOW/images/invalid.png HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:58:11 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:58:12 +0530] "GET /JSHOW/images/invalid.png HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [09/Nov/2017:16:58:16 +0530] "GET /JSHOW/laptops/hp/hp2.jpg HTTP/1.1" 200 4224
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:04:34 +0530] "GET /JSHOW/prjJS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2017:17:04:34 +0530] "GET /JSHOW/js/myScripts.js HTTP/1.1" 200 3737
